# Cross section for H
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Process 0 : H + hv -> H+ + e
5.329145440e+02	7.669192700e-23	7.669192700e-23	
3.306245335e+02	4.574939419e-22	4.574939419e-22	
1.859763000e+02	2.794557588e-21	2.794557588e-21	
1.033201667e+02	1.748744429e-20	1.748744429e-20	
7.232411665e+01	5.212115105e-20	5.212115105e-20	
5.579289000e+01	1.141230204e-19	1.141230204e-19	
4.898915955e+01	1.680184375e-19	1.680184375e-19	
4.837963910e+01	1.742380158e-19	1.742380158e-19	
4.600400090e+01	2.021432096e-19	2.021432096e-19	
4.248571470e+01	2.563692565e-19	2.563692565e-19	
4.110756160e+01	2.826050066e-19	2.826050066e-19	
4.088205650e+01	2.870319830e-19	2.870319830e-19	
4.085043455e+01	2.876527655e-19	2.876527655e-19	
4.081881260e+01	2.882735480e-19	2.882735480e-19	
3.811893485e+01	3.525210899e-19	3.525210899e-19	
3.455950415e+01	4.686862723e-19	4.686862723e-19	
3.368995120e+01	5.045241719e-19	5.045241719e-19	
3.234050060e+01	5.676708527e-19	5.676708527e-19	
2.927404720e+01	7.558013550e-19	7.558013550e-19	
2.710635215e+01	9.416802885e-19	9.416802885e-19	
2.665565990e+01	9.864198659e-19	9.864198659e-19	
2.572374995e+01	1.090106896e-18	1.090106896e-18	
2.366971090e+01	1.379735294e-18	1.379735294e-18	
2.245873225e+01	1.596585885e-18	1.596585885e-18	
2.236988270e+01	1.615380781e-18	1.615380781e-18	
2.179653210e+01	1.740119702e-18	1.740119702e-18	
2.122318150e+01	1.876899036e-18	1.876899036e-18	
2.094110740e+01	1.949659942e-18	1.949659942e-18	
2.049865600e+01	2.068566644e-18	2.068566644e-18	
2.001587420e+01	2.210703930e-18	2.210703930e-18	
1.969346970e+01	2.310046129e-18	2.310046129e-18	
1.938148100e+01	2.417751398e-18	2.417751398e-18	
1.839326045e+01	2.789208020e-18	2.789208020e-18	
1.767534935e+01	3.110341287e-18	3.110341287e-18	
1.763367015e+01	3.129799000e-18	3.129799000e-18	
1.707994845e+01	3.415348721e-18	3.415348721e-18	
1.637256720e+01	3.831456165e-18	3.831456165e-18	
1.620890770e+01	3.935555780e-18	3.935555780e-18	
1.615359135e+01	3.970741093e-18	3.970741093e-18	
1.609827500e+01	4.005926406e-18	4.005926406e-18	
1.590510105e+01	4.140141396e-18	4.140141396e-18	
1.571192710e+01	4.280700117e-18	4.280700117e-18	
1.560247605e+01	4.360339735e-18	4.360339735e-18	
1.504220075e+01	4.816210879e-18	4.816210879e-18	
1.418119935e+01	5.629028711e-18	5.629028711e-18	
1.341349530e+01	6.516091087e-18	0.000000000e+00	
1.287550275e+01	7.144530218e-18	0.000000000e+00	
1.269503710e+01	7.355335510e-18	0.000000000e+00	
1.254422855e+01	7.531497790e-18	0.000000000e+00	
1.224797440e+01	7.877557788e-18	0.000000000e+00	
1.209252880e+01	8.059136692e-18	0.000000000e+00	
1.205627475e+01	8.101485724e-18	0.000000000e+00	
1.202002070e+01	8.143834756e-18	0.000000000e+00	
1.191151990e+01	8.270576565e-18	0.000000000e+00	
#	AeroPlanets 1.3, 2009-2024
#	Copyright G Gronoff 2009
#	Report bugs : guillaume.gronoff@gmail.com
#
#	Launched :Tue Sep 24 00:41:10 2024
# Planet:Anonymous
# Photoionization used, SZA = 45
# Electron impact ionization used
# Electron impact ionization error: 0.331248% (>0 : gain)

