# Cross section for Ar
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : Ar + e -> Ar(13.8)
# Process 1 : Ar + e -> Ar(3P)
# Process 2 : Ar + e -> Ar(14.8)
# Process 3 : Ar + e -> Ar(2P)
# Process 4 : Ar + e -> Ar(1S)
# Process 5 : Ar+e -> Ar(4s1/2)
# Process 6 : Ar+e -> Ar(3d1/2)
# Process 7 : Ar+e -> Ar(5s3/2)
# Process 8 : Ar+e -> Ar(3d3/2)
# Process 9 : Ar+e -> Ar(5sprime1/2)
# Process 10 : Ar+e -> Ar(3dprime3/2)
# Process 11 : Ar+e -> a
# Process 12 : Ar+e -> b
# Process 13 : Ar+e -> c
# Process 14 : Ar+e -> d
# Process 15 : Ar+e -> e
# Process 16 : Ar+e -> CompositeForbidden
# Process 17 : X
# Process 18 : Ar +e -> 0.88 x Ar++(M-Shell) + 0.12 x Ar+ 0.12 x Fluo-Auger
# Process 19 : Ar++
# Process 20 : Ar+(4P)
1.600000000e+03	1.974547078e-16	1.097240494e-16	2.670542186e-18	2.542126114e-20	3.766928861e-18	2.544126232e-19	5.300004840e-18	4.059542051e-18	2.827906268e-20	4.443447678e-19	1.666292879e-18	1.454933401e-19	2.091466764e-18	8.631407532e-19	5.624780365e-19	5.554430046e-19	4.138657929e-19	8.209580962e-19	1.959676624e-19	6.120010816e-17	4.910485500e-19	1.866873533e-18	3.080461455e-19	
1.406414536e+03	2.137859076e-16	1.169584838e-16	2.949992498e-18	2.890537378e-20	4.159328201e-18	2.892599097e-19	5.860921677e-18	4.462654715e-18	3.107574898e-20	4.882715687e-19	1.831018383e-18	1.598708367e-19	2.298143278e-18	9.483355583e-19	6.179801785e-19	6.102348970e-19	4.546757749e-19	9.018943050e-19	2.375223125e-19	6.757937473e-17	5.164318214e-19	2.061386007e-18	3.401460157e-19	
1.236114969e+03	2.315466999e-16	1.247614437e-16	3.258149160e-18	3.288135653e-20	4.589968693e-18	3.292136217e-19	6.478507529e-18	4.904797161e-18	3.414028553e-20	5.364010211e-19	2.011503829e-18	1.756224440e-19	2.524572633e-18	1.041647079e-18	6.787659568e-19	6.702386762e-19	4.993635529e-19	9.905170562e-19	2.878906494e-19	7.455250315e-17	5.393745061e-19	2.273968128e-18	3.752297403e-19	
1.086396938e+03	2.507798027e-16	1.331262489e-16	3.594919186e-18	3.741086719e-20	5.060000420e-18	3.746087689e-19	7.154196081e-18	5.389138506e-18	3.749362998e-20	5.890607568e-19	2.208977838e-18	1.928548921e-19	2.772289073e-18	1.143698749e-18	7.452400543e-19	7.358523964e-19	5.482241646e-19	1.087410053e-18	3.488963789e-19	8.215543518e-17	5.586758212e-19	2.505695213e-18	4.134757999e-19	
9.547730637e+02	2.714927344e-16	1.420002292e-16	3.962442845e-18	4.257078635e-20	5.571217832e-18	4.263079901e-19	7.892418373e-18	5.919291845e-18	4.115953583e-20	6.466218954e-19	2.424832108e-18	2.116890052e-19	3.043029449e-18	1.255195039e-18	8.178595437e-19	8.075254330e-19	6.015904761e-19	1.193231629e-18	4.227691722e-19	9.042708304e-17	5.728690269e-19	2.757723679e-18	4.550765383e-19	
8.390565790e+02	2.938308157e-16	1.514694535e-16	4.362310976e-18	4.844064258e-20	6.126308841e-18	4.851726395e-19	8.697608424e-18	6.499068934e-18	4.516277682e-20	7.094710457e-19	2.660516422e-18	2.322505022e-19	3.338600969e-18	1.376866308e-18	8.970978541e-19	8.857228071e-19	6.598065091e-19	1.308661747e-18	5.121994631e-19	9.940458603e-17	5.801534697e-19	3.031142104e-18	5.002138062e-19	
7.373249979e+02	3.179283285e-16	1.616099934e-16	4.797514704e-18	5.513612129e-20	6.728648368e-18	5.523613374e-19	9.573482827e-18	7.132458270e-18	4.952890434e-20	7.780063601e-19	2.917523850e-18	2.546686608e-19	3.660861999e-18	1.509460102e-18	9.834389773e-19	9.709193404e-19	7.232229628e-19	1.434392999e-18	6.204310442e-19	1.091219645e-16	5.783384332e-19	3.326923905e-18	5.490514823e-19	
6.478881762e+02	3.438208240e-16	1.724098981e-16	5.269017893e-18	6.275421534e-20	7.379519502e-18	6.288421810e-19	1.052198313e-17	7.823590487e-18	5.428389481e-20	8.526318295e-19	3.197369361e-18	2.790743956e-19	4.011694437e-18	1.653728797e-18	1.077369261e-18	1.063591398e-18	7.921909097e-19	1.571117944e-18	7.513712017e-19	1.196084135e-16	5.647896266e-19	3.645866101e-18	6.017258572e-19	
5.692602321e+02	3.715910291e-16	1.838977646e-16	5.779185146e-18	7.145686398e-20	8.082285397e-18	7.162815562e-19	1.155437010e-17	8.576687190e-18	5.945365560e-20	9.337493163e-19	3.501559936e-18	3.055975830e-19	4.392965256e-18	1.810412557e-18	1.179366108e-18	1.164205543e-18	8.670531551e-19	1.719511791e-18	9.097212530e-19	1.308861603e-16	5.363980371e-19	3.988510413e-18	6.583333465e-19	
5.001348599e+02	4.013629051e-16	1.961758344e-16	6.329767688e-18	8.136230417e-20	8.834943468e-18	8.158514813e-19	1.266580036e-17	9.395988382e-18	6.506334969e-20	1.021747693e-18	3.831553849e-18	3.343634234e-19	4.806474212e-18	1.980216306e-18	1.289882739e-18	1.273203257e-18	9.481326245e-19	1.880209132e-18	1.101130609e-18	1.429677950e-16	4.896282266e-19	4.355041781e-18	7.189148465e-19	
