# Cross section for CO
# Energy in eV
# Cross section in cm2
# inelastic cross section 
# elastic cross section 
1.600000000e+03	6.236159350e-17	8.244455678e-17

1.406414536e+03	6.864730739e-17	8.965330440e-17

1.236114969e+03	7.550339360e-17	9.749934851e-17

1.086396938e+03	8.298025000e-17	1.060345579e-16

9.547730637e+02	9.137770975e-17	1.153200637e-16

8.390565790e+02	1.010104752e-16	1.248138872e-16

7.373249979e+02	1.103948228e-16	1.341792436e-16

6.478881762e+02	1.209889861e-16	1.441285143e-16

5.692602321e+02	1.324587489e-16	1.544597311e-16

5.001348599e+02	1.437733596e-16	1.649787931e-16

4.393636273e+02	1.576110791e-16	1.797362356e-16

3.859368955e+02	1.717213143e-16	1.940816323e-16

3.389670457e+02	1.876619734e-16	2.083602271e-16

2.976737322e+02	2.037114121e-16	2.222198655e-16

2.613709177e+02	2.215089268e-16	2.421529381e-16

2.294554761e+02	2.395040201e-16	2.611487120e-16

2.013971717e+02	2.577874569e-16	2.790758250e-16

1.767298508e+02	2.775555373e-16	3.022506783e-16

1.550436963e+02	2.991277910e-16	3.245756902e-16

1.359784197e+02	3.198802141e-16	3.530896947e-16

1.192172751e+02	3.409183810e-16	3.828200975e-16

1.044817969e+02	3.613076807e-16	4.110183761e-16

9.152717330e+01	3.916573836e-16	4.368851362e-16

8.013817938e+01	4.216825108e-16	4.695718357e-16

7.012560113e+01	4.517533603e-16	5.094770668e-16

6.132309196e+01	4.871022544e-16	5.445326668e-16

5.358440910e+01	5.399123467e-16	5.815757430e-16

4.678098394e+01	5.915629496e-16	6.246677272e-16

4.079978601e+01	6.200668787e-16	6.732269034e-16

3.554144513e+01	6.184678583e-16	7.228954971e-16

3.091860047e+01	6.144765956e-16	7.702311142e-16

2.685444922e+01	5.896683478e-16	8.271495223e-16

2.328147054e+01	5.726111926e-16	8.841725569e-16

2.014030381e+01	5.749919764e-16	9.375424184e-16

1.737876246e+01	4.875379179e-16	1.020740911e-15

1.495096690e+01	4.202830214e-16	1.100323999e-15

1.281658231e+01	3.688493528e-16	1.114520374e-15

1.094014855e+01	3.484735963e-16	1.135798978e-15

9.290490991e+00	3.241681592e-16	1.164154601e-15

7.840202622e+00	2.386331371e-16	1.203173797e-15

6.565188700e+00	1.369271723e-16	1.254161479e-15

5.444266450e+00	4.658962879e-29	1.402382967e-15

4.458813141e+00	9.208090962e-18	1.592038254e-15

3.592456687e+00	1.947949970e-17	1.918889946e-15

2.830803650e+00	7.010569330e-17	2.517493951e-15

2.161200111e+00	3.722290946e-16	3.478437498e-15

1.572521437e+00	2.215642964e-16	2.431339207e-15

1.054987462e+00	7.210719565e-17	1.434218052e-15

6.000000000e-01	0.000000000e+00	9.013606864e-16

2.000000000e-01	0.000000000e+00	5.991527190e-16

#	AeroPlanets 1.3, 2009-2024
#	Copyright G Gronoff 2009
#	Report bugs : guillaume.gronoff@gmail.com
#
#	Launched :Tue Sep 24 00:41:10 2024
# Planet:Anonymous
# Photoionization used, SZA = 45
# Electron impact ionization used
# Electron impact ionization error: 0.331248% (>0 : gain)

