# Cross section for He
# Energy in eV
# Cross section in cm2
# Total Cross Section
# Elastic Cross Section
# Process 0 : He+e -> He(2St)
# Process 1 : He+e -> He(2Ss)
# Process 2 : He+e -> He(2Pt)
# Process 3 : He+e -> He(2Ps)
# Process 4 : He+e -> He(3St)
# Process 5 : He+e -> He(3Ss)
# Process 6 : He+e -> He(3Pt)
# Process 7 : He+e -> He(3Dt)
# Process 8 : He+e -> He(3Ds)
# Process 9 : He+e -> He(3Ps)
# Process 10 : He+e -> He(4St)
# Process 11 : He+e -> He(4Ss)
# Process 12 : He+e -> He(4Pt)
# Process 13 : He+e -> He(4Dt)
# Process 14 : He+e -> He(4Ds)
# Process 15 : He+e -> He(4Ft)
# Process 16 : He+e -> He(4Fs)
# Process 17 : He+e -> He(4Ps)
# Process 18 : He+e->He+
# Process 19 : He+e->He++
1.600000000e+03	1.376571804e-17	1.695433100e-18	7.906620747e-23	1.326295268e-19	3.948712134e-23	2.167371053e-18	1.396941113e-23	2.938617521e-20	2.938617521e-20	3.283349949e-25	7.468124874e-21	5.637170087e-19	4.789825321e-24	1.128698143e-20	4.758680234e-24	2.749776289e-25	4.194680377e-21	3.118268500e-27	3.237281477e-23	2.208396958e-19	8.840813294e-18	6.301717958e-20	
1.406414536e+03	1.529839597e-17	1.969889785e-18	1.171947730e-22	1.494528876e-19	5.767061176e-23	2.401918499e-18	2.034926249e-23	3.362654325e-20	3.362654325e-20	5.080855200e-25	8.599278651e-21	6.194542359e-19	7.090259386e-24	1.267453905e-20	6.964381317e-24	4.091498496e-25	4.736722507e-21	4.794135192e-27	3.659698113e-23	2.451775046e-19	9.750618152e-18	6.837449646e-20	
1.236114969e+03	1.708979041e-17	2.316550576e-18	1.702043281e-22	1.680728742e-19	8.580851670e-23	2.612857789e-18	2.986276840e-23	3.817053072e-20	3.817053072e-20	7.865357148e-25	9.915750790e-21	6.789403425e-19	1.054094993e-23	1.442849776e-20	1.025950879e-23	6.089965916e-25	5.480891865e-21	7.373380049e-27	4.122026535e-23	2.718394756e-19	1.086099622e-17	7.401762908e-20	
1.086396938e+03	1.897214385e-17	2.679310828e-18	2.513810539e-22	1.927106357e-19	1.320640012e-22	2.908966610e-18	4.383156092e-23	4.237134852e-20	4.237134852e-20	1.217737686e-24	1.127439566e-20	7.496155535e-19	1.546995469e-23	1.621757935e-20	1.574383106e-23	9.065592135e-25	6.167458585e-21	1.134163934e-26	4.653719220e-23	2.960314785e-19	1.194667987e-17	7.991958512e-20	
9.547730637e+02	2.113350093e-17	3.125455486e-18	3.842329419e-22	2.163849949e-19	1.972315613e-22	3.219183791e-18	6.217501253e-23	4.801528525e-20	4.801528525e-20	1.870606332e-24	1.277388940e-20	8.242236399e-19	2.243633780e-23	1.808338701e-20	2.355714247e-23	1.354155233e-24	7.127852628e-21	1.744798264e-26	5.328473045e-23	3.270136951e-19	1.320043295e-17	8.604451290e-20	
8.390565790e+02	2.339559414e-17	3.578652479e-18	5.606250844e-22	2.430064604e-19	2.931666777e-22	3.526737081e-18	9.492044585e-23	5.399856531e-20	5.399856531e-20	2.745423800e-24	1.447508636e-20	9.077719119e-19	3.287842043e-23	2.068540730e-20	3.536065459e-23	2.040225558e-24	8.201268994e-21	2.684621738e-26	6.106267313e-23	3.632397058e-19	1.453140314e-17	9.234164343e-20	
7.373249979e+02	2.605923257e-17	4.240208386e-18	8.004047509e-22	2.745154397e-19	4.336234017e-22	3.865831899e-18	1.372226783e-22	6.071074523e-20	6.071074523e-20	4.215489804e-24	1.692009201e-20	9.942114040e-19	4.781391011e-23	2.274958870e-20	5.438144630e-23	3.138558727e-24	9.322580396e-21	4.131416269e-26	6.910792466e-23	3.979343379e-19	1.601582561e-17	9.874179886e-20	
6.478881762e+02	2.901097484e-17	5.060427124e-18	1.171518352e-21	3.083476744e-19	6.664437072e-22	4.228001225e-18	2.038700245e-22	6.817413313e-20	6.817413313e-20	6.321828537e-24	1.958203672e-20	1.087933471e-18	7.046298490e-23	2.536072548e-20	8.014950115e-23	4.650723212e-24	1.061715088e-20	6.359216004e-26	7.919705935e-23	4.347555303e-19	1.759216576e-17	1.051531972e-19	
5.692602321e+02	3.224748000e-17	5.975231236e-18	1.708334784e-21	3.441218634e-19	1.024240709e-21	4.630940734e-18	2.985663495e-22	7.570863830e-20	7.570863830e-20	9.743884343e-24	2.202837709e-20	1.180951288e-18	1.029042083e-22	2.818853383e-20	1.225560064e-22	7.270562476e-24	1.225017626e-20	9.790599210e-26	9.151134757e-23	4.664187665e-19	1.932111010e-17	1.114564167e-19	
5.001348599e+02	3.568553652e-17	7.017266169e-18	2.476711429e-21	3.835493847e-19	1.497178921e-21	5.047472703e-18	4.415059634e-22	8.333767821e-20	8.333767821e-20	1.465240558e-23	2.552548365e-20	1.288145604e-18	1.517028558e-22	3.161284808e-20	1.890393440e-22	1.142741195e-23	1.415292548e-20	1.507752543e-25	1.058855794e-22	5.232000000e-19	2.106554944e-17	1.174983562e-19	
4.393636273e+02	3.940080566e-17	8.161294988e-18	3.655625192e-21	4.370430710e-19	2.309993846e-21	5.490498093e-18	6.255916526e-22	9.203637401e-20	9.203637401e-20	2.311412330e-23	2.959949223e-20	1.402327883e-18	2.233205884e-22	3.530690583e-20	2.916283942e-22	1.754441342e-23	1.633159356e-20	2.322640332e-25	1.227763538e-22	5.632833168e-19	2.295238495e-17	1.213927845e-19	
3.859368955e+02	4.366088284e-17	9.702648769e-18	5.276772437e-21	4.839189847e-19	3.457551167e-21	6.012409568e-18	9.316246816e-22	1.017710318e-19	1.017710318e-19	3.566113184e-23	3.405008160e-20	1.515976341e-18	3.219286181e-22	3.889198986e-20	4.415387287e-22	2.662408422e-23	1.856526214e-20	3.579177184e-25	1.428206867e-22	6.107778085e-19	2.490041666e-17	1.290504304e-19	
3.389670457e+02	4.798061457e-17	1.131695267e-17	7.593748208e-21	5.278717936e-19	5.276566690e-21	6.518186675e-18	1.351362335e-21	1.109374232e-19	1.109374232e-19	5.694337028e-23	3.905631573e-20	1.634660558e-18	4.793480932e-22	4.235643561e-20	6.626726996e-22	4.088620850e-23	2.159273728e-20	5.517655664e-25	1.687074046e-22	6.583884224e-19	2.685181143e-17	1.322319050e-19	
2.976737322e+02	5.235282592e-17	1.302408286e-17	1.080218788e-20	5.829493083e-19	7.817601521e-21	7.003818107e-18	1.930690417e-21	1.212113762e-19	1.212113762e-19	8.973803949e-23	4.461086141e-20	1.750588529e-18	6.914586531e-22	4.607991909e-20	1.014684474e-21	6.477452347e-23	2.455762586e-20	8.509811083e-25	1.984316064e-22	7.097112525e-19	2.876746363e-17	1.339306516e-19	
