10.0	0.0060	0.0009	0.0006	0.0015	0.0260	0.0004	0.0020	0.0007	0.0120	13.9590	0.0006	10.6220	0.2020	0.0660	0.2020	0.0200	0.0001	0.0200	0.0070	0.0100	0.0070	0.0001	1.0e-6	6.7e-5	18.4220
20.0	0.0130	0.0020	0.0013	0.0030	0.0430	0.0009	0.0050	0.0030	0.0200	14.2290	0.0030	10.1890	0.2570	0.1100	0.2570	0.0450	0.0003	0.0450	0.0130	0.0200	0.0130	0.0003	5.0e-6	0.0003	106.1550
30.0	0.0210	0.0040	0.0020	0.0050	0.0570	0.0015	0.0090	0.0060	0.0260	14.3790	0.0070	9.9440	0.2960	0.1480	0.2960	0.0710	0.0006	0.0710	0.0200	0.0310	0.0200	0.0007	1.5e-5	0.0007	81.0370
40.0	0.0300	0.0060	0.0030	0.0080	0.0700	0.0020	0.0140	0.0100	0.0320	14.4790	0.0130	9.7740	0.3260	0.1830	0.3260	0.0970	0.0010	0.0970	0.0270	0.0420	0.0270	0.0013	3.0e-5	0.0010	66.9090
50.0	0.0380	0.0080	0.0040	0.0100	0.0820	0.0030	0.0200	0.0150	0.0370	14.5510	0.0200	9.6440	0.3520	0.2160	0.3520	0.1230	0.0010	0.1230	0.0340	0.0530	0.0340	0.0020	5.3e-5	0.0020	57.6710
60.0	0.0470	0.0100	0.0040	0.0120	0.0930	0.0030	0.0260	0.0220	0.0420	14.6060	0.0300	9.5390	0.3740	0.2460	0.3740	0.1480	0.0020	0.1480	0.0410	0.0640	0.0410	0.0030	8.3e-5	0.0030	51.0770
70.0	0.0560	0.0120	0.0050	0.0140	0.1030	0.0040	0.0320	0.0300	0.0470	14.6490	0.0420	9.4520	0.3940	0.2750	0.3940	0.1730	0.0020	0.1730	0.0480	0.0750	0.0480	0.0040	1.2e-4	0.0040	46.0940
80.0	0.0660	0.0150	0.0060	0.0170	0.1140	0.0040	0.0400	0.0380	0.0510	14.6820	0.0570	9.3760	0.4120	0.3030	0.4120	0.1960	0.0030	0.1960	0.0540	0.0860	0.0540	0.0060	1.7e-4	0.0060	42.1730
90.0	0.0750	0.0170	0.0070	0.0190	0.1230	0.0050	0.0470	0.0480	0.0550	14.7090	0.0730	9.3100	0.4280	0.3300	0.4280	0.2180	0.0040	0.2180	0.0610	0.0970	0.0610	0.0070	0.0002	0.0070	38.9910
100.0	0.0850	0.0200	0.0080	0.0220	0.1330	0.0060	0.0550	0.0580	0.0600	14.7300	0.0920	9.2510	0.4420	0.3550	0.4420	0.2380	0.0040	0.2380	0.0680	0.1090	0.0680	0.0090	0.0003	0.0090	36.3490
150.0	0.1340	0.0340	0.0120	0.0350	0.1760	0.0090	0.1010	0.1250	0.0790	14.7830	0.2230	9.0290	0.5020	0.4710	0.5020	0.3220	0.0080	0.3220	0.1000	0.1630	0.1000	0.0190	0.0008	0.0190	27.7480
200.0	0.1840	0.0510	0.0170	0.0490	0.2160	0.0120	0.1520	0.2110	0.0960	14.7830	0.4160	8.8750	0.5450	0.5690	0.5450	0.3790	0.0130	0.3790	0.1300	0.2150	0.1300	0.0310	0.0020	0.0310	22.9110
250.0	0.2350	0.0680	0.0220	0.0630	0.2520	0.0150	0.2090	0.3110	0.1110	14.7550	0.6730	8.7570	0.5790	0.6530	0.5790	0.4170	0.0190	0.4170	0.1570	0.2630	0.1570	0.0430	0.0030	0.0430	19.7470
300.0	0.2860	0.0870	0.0260	0.0780	0.2860	0.0190	0.2680	0.4220	0.1260	14.7100	0.9920	8.6610	0.6060	0.7260	0.6060	0.4430	0.0250	0.4430	0.1810	0.3050	0.1810	0.0530	0.0050	0.0530	17.4900
350.0	0.3370	0.1070	0.0310	0.0930	0.3190	0.0220	0.3300	0.5390	0.1400	14.6530	1.3710	8.5820	0.6290	0.7890	0.6290	0.4600	0.0320	0.4600	0.2010	0.3430	0.2010	0.0620	0.0070	0.0620	15.7830
